"sitters_user_id","counties","sitters_member_id","sitters_sitter_has_review_yes_no","sitters_average_rating","sitters_total_number_of_reviews","sitters_birth_date","sitters_gender","sitters_zipcode","sitters_pay_min","sitters_pay_max","sitter_profiles_nanny_pay_rate","sitters_care_type","sitter_profiles_nanny_pay_min","sitter_profiles_education_completed","sitters_background_check_submitted_ever_yes_no","sitter_profiles_years_of_experience","sitter_profiles_comfortable_with_pets_yes_no","sitter_profiles_sick_children_yes_no","sitter_profiles_smoker_yes_no","sitter_profiles_childcare_profile_completed_yes_no","sitter_profiles_childcare_reference_count","sitter_profiles_homework_help_yes_no","sitter_profiles_cpr_certified_yes_no","sitter_profiles_first_aid_training_yes_no","sitter_profiles_childcare_access_to_transportation_yes_no","special_needs_yes_no","sitters_city","NA","laundry","travel_with_family","potty_training","crafts","swimming_supervision","light_housekeeping","meal_preparation","age_range","mean_pay_rate_sitters"
"182d9e2c-c7a4-5aaa-a750-16cccfa3d234","Franklin",19338543,"No",NA,0,21,"female","01355","10","20",NA,"Babysitter",NA,"Some College","No",1,"Yes","No","No","Yes",NA,"Yes","Yes","No","Yes","No","New Salem",NA,NA,NA,NA,"Yes",NA,"Yes",NA,"18-24",15
"10638e5f-bb04-5ff2-b62a-74dacb58d9bc","Franklin",15226652,"No",NA,0,23,"female","01093","14","20",NA,"Babysitter",NA,"Some College","No",5,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","No","Yes","Whately",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","18-24",17
"259a2dd9-0be3-5232-af4d-26ecbb67455b","Franklin",18720103,"No",NA,0,66,"female","01342","15","20",NA,"Babysitter",NA,NA,"No",40,"Yes","No","No","Yes",NA,"No","No","No","No","No","Deerfield","Yes",NA,NA,NA,NA,NA,NA,NA,"65 and over",17.5
"60704b44-45a6-5602-8d16-a89bcc3e3213","Worcester",12091640,"No",NA,0,27,"female","01453","5","20","{""min"":1200,""max"":2500}","Babysitter","$12.00","Some College","No",6,"Yes","Yes","Yes","Yes",NA,"Yes","No","No","Yes","Yes","Leominster",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","25-34",12.5
"887a9f07-3a3a-57cf-b97e-31b3aa1c6b94","Hampshire",17912671,"No",NA,0,33,"male","01002",NA,NA,"{""min"":1800,""max"":2000}","Nanny","$18.00",NA,"No",10,"Yes","No","No","Yes",NA,"No","No","No","No","No","Amherst","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",NA
"ec6dfb91-4bae-568d-a2be-1e2f551103c6","Hampden",19574059,"No",NA,0,22,"female","01085","15","20",NA,"Babysitter",NA,NA,"Yes",2,"Yes","No","No","Yes",NA,"No","No","No","No","No","Montgomery","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",17.5
"4625a54e-253b-5f2f-9051-470ef0fe365e","Hampshire",19439655,"No",NA,0,22,"female","01002","17","25",NA,"Babysitter",NA,NA,"No",6,"Yes","No","No","Yes",NA,"No","No","No","No","No","Amherst","Yes",NA,NA,NA,NA,NA,NA,NA,"18-24",21
"d36c4673-6e63-573e-83a3-0b4ea9c88ac6","Worcester",14805081,"No",NA,0,24,"female","01453","11","20","{""min"":1100,""max"":2500}","Babysitter","$11.00","High School Degree","No",0,"Yes","Yes","No","Yes",NA,"No","No","No","Yes","Yes","Leominster",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes","18-24",15.5
"31a137e7-e576-530f-bb0a-ec72c0ffda29","Worcester",19110633,"No",NA,0,26,"female","01453","15","20",NA,"Babysitter",NA,NA,"No",5,"Yes","No","No","Yes",NA,"No","No","No","No","No","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",17.5
"8818c627-9560-51c8-8bfd-0e7bc1c9f68d","Hampshire",17874585,"No",NA,0,35,"female","01002","20","25",NA,"Babysitter",NA,NA,"No",5,"Yes","No","No","Yes",NA,"No","No","No","No","No","Amherst","Yes",NA,NA,NA,NA,NA,NA,NA,"35-44",22.5
"0c0553ec-e6f8-5971-a3be-81b032449ead","Hampden",19341198,"No",NA,0,25,"female","01085","15","20",NA,"Babysitter",NA,NA,"No",0,"Yes","No","No","Yes",NA,"No","No","No","No","No","Westfield","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",17.5
"0aac9e96-df18-5b40-9a74-723fadc183b4","Worcester",16656054,"No",NA,0,31,"female","01453","14","25",NA,"Babysitter",NA,NA,"No",2,"Yes","No","No","Yes",NA,"No","No","No","No","No","Leominster","Yes",NA,NA,NA,NA,NA,NA,NA,"25-34",19.5
"7d954774-500f-54e4-ba5c-b2b0673ea7f6","Worcester",15298913,"No",NA,0,37,"female","01453",NA,NA,"{""min"":1500,""max"":2500}","Nanny","$15.00","College Degree","No",10,"Yes","Yes","No","Yes",1,"Yes","Yes","Yes","Yes","Yes","Leominster",NA,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","35-44",NA
